Algorithm,InputType,Size,Run,ExecutionTimeNs,MaxRecursionDepth,Comparisons
QuickSort,Random,50000,4,3858300,10,1550948
QuickSort,Random,50000,5,4044400,10,1550948
QuickSort,Random,50000,6,4075600,10,1550948
QuickSort,Random,50000,7,4902400,10,1550948
DeterministicSelect,Random,50000,1,2435800,14,496356
DeterministicSelect,Random,50000,2,1595300,14,496356
DeterministicSelect,Random,50000,3,1455800,14,496356
DeterministicSelect,Random,50000,4,1509100,14,496356
DeterministicSelect,Random,50000,5,1526100,14,496356
DeterministicSelect,Random,50000,6,1496500,14,496356
DeterministicSelect,Random,50000,7,1453900,14,496356
MergeSort,Sorted,50000,1,948800,13,347008
MergeSort,Sorted,50000,2,586500,13,347008
MergeSort,Sorted,50000,3,1640600,13,347008
MergeSort,Sorted,50000,4,1169600,13,347008
MergeSort,Sorted,50000,5,1065000,13,347008
MergeSort,Sorted,50000,6,724400,13,347008
MergeSort,Sorted,50000,7,582700,13,347008
QuickSort,Sorted,50000,1,2004500,10,1435101
QuickSort,Sorted,50000,2,2184800,10,1435101
QuickSort,Sorted,50000,3,3080000,10,1435101
QuickSort,Sorted,50000,4,2030500,10,1435101
QuickSort,Sorted,50000,5,1947300,10,1435101
QuickSort,Sorted,50000,6,1972700,10,1435101
QuickSort,Sorted,50000,7,1945600,10,1435101
DeterministicSelect,Sorted,50000,1,671600,15,435641
DeterministicSelect,Sorted,50000,2,877400,15,435641
DeterministicSelect,Sorted,50000,3,659100,15,435641
DeterministicSelect,Sorted,50000,4,664900,15,435641
DeterministicSelect,Sorted,50000,5,664400,15,435641
DeterministicSelect,Sorted,50000,6,1376400,15,435641
DeterministicSelect,Sorted,50000,7,1103200,15,435641
MergeSort,ReverseSorted,50000,1,952900,13,579408
MergeSort,ReverseSorted,50000,2,960100,13,579408
MergeSort,ReverseSorted,50000,3,973800,13,579408
MergeSort,ReverseSorted,50000,4,971900,13,579408
MergeSort,ReverseSorted,50000,5,954400,13,579408
MergeSort,ReverseSorted,50000,6,1310700,13,579408
MergeSort,ReverseSorted,50000,7,1661800,13,579408
QuickSort,ReverseSorted,50000,1,2249800,10,1415597
QuickSort,ReverseSorted,50000,2,2085600,10,1415597
QuickSort,ReverseSorted,50000,3,2627400,10,1415597
QuickSort,ReverseSorted,50000,4,2167100,10,1415597
QuickSort,ReverseSorted,50000,5,2606100,10,1415597
QuickSort,ReverseSorted,50000,6,2371000,10,1415597
QuickSort,ReverseSorted,50000,7,1952000,10,1415597
DeterministicSelect,ReverseSorted,50000,1,702200,14,478423
DeterministicSelect,ReverseSorted,50000,2,734700,14,478423
DeterministicSelect,ReverseSorted,50000,3,770200,14,478423
DeterministicSelect,ReverseSorted,50000,4,943900,14,478423
DeterministicSelect,ReverseSorted,50000,5,772600,14,478423
DeterministicSelect,ReverseSorted,50000,6,732300,14,478423
DeterministicSelect,ReverseSorted,50000,7,722200,14,478423
MergeSort,Duplicates,50000,1,1674100,13,734131
MergeSort,Duplicates,50000,2,1876900,13,734131
MergeSort,Duplicates,50000,3,2605100,13,734131
MergeSort,Duplicates,50000,4,2299400,13,734131
MergeSort,Duplicates,50000,5,1762100,13,734131
MergeSort,Duplicates,50000,6,2511600,13,734131
MergeSort,Duplicates,50000,7,3230600,13,734131
QuickSort,Duplicates,50000,1,610100,2,374442
QuickSort,Duplicates,50000,2,754900,2,374442
QuickSort,Duplicates,50000,3,17924800,2,374442
QuickSort,Duplicates,50000,4,1143100,2,374442
QuickSort,Duplicates,50000,5,1170100,2,374442
QuickSort,Duplicates,50000,6,1182700,2,374442
QuickSort,Duplicates,50000,7,1312900,2,374442
DeterministicSelect,Duplicates,50000,1,1361700,8,196024
DeterministicSelect,Duplicates,50000,2,1285000,8,196024
DeterministicSelect,Duplicates,50000,3,1283800,8,196024
DeterministicSelect,Duplicates,50000,4,2089800,8,196024
DeterministicSelect,Duplicates,50000,5,1294300,8,196024
DeterministicSelect,Duplicates,50000,6,1567300,8,196024
DeterministicSelect,Duplicates,50000,7,1346100,8,196024
ClosestPair,RandomPoints,50000,1,33519500,16,71048
ClosestPair,RandomPoints,50000,2,21036300,16,71048
ClosestPair,RandomPoints,50000,3,20944000,16,71048
ClosestPair,RandomPoints,50000,4,20652000,16,71048
ClosestPair,RandomPoints,50000,5,22539600,16,71048
ClosestPair,RandomPoints,50000,6,21194100,16,71048
ClosestPair,RandomPoints,50000,7,20133900,16,71048
